,acc_pa,acc_ml,acc_si
mean,-0.5800113283933928,0.009613278878389938,-5.3148587425429685
var,1.9752524511980423,0.8799430000500156,26.168983731852933
scale,1.4054367474909863,0.9380527703972819,5.11556289491713
