n_samples,acc_pa,acc_ml,acc_si,gyr_pa,gyr_ml,gyr_si,side
3588,0.062109934264714894,-0.5601602341001892,-9.902774385514107,-0.5247623202047423,0.9108340099658071,-0.250718538931766,left
3589,0.05404865278707094,-0.5417754832909094,-9.891725246975899,-1.643633417252952,0.5908413698316055,-0.4694529906974967,left
3590,0.020289777870517778,-0.5211132624063991,-9.83048013740075,-1.7729208892052202,-0.6874536022470712,-0.5557428408239965,left
3591,0.03514600816513713,-0.5048299262776386,-9.696256926071419,-0.8630347028259577,-1.8209741407332423,-1.0321229099231581,left
3592,0.0941569384074481,-0.4854678366425227,-9.934263628495325,-0.1188173321813745,-1.4126120449440993,-0.5546536483870443,left
3593,0.0057825368106754205,-0.44670422391801123,-9.755530078643796,-0.2556931812969484,-1.2551470596479868,-0.4457407595882183,left
3594,0.1498323385721445,-0.43880816583885185,-9.963312995746223,0.12044447153242716,-1.199681662530954,-0.4983251945028572,left
3595,0.0904001003191035,-0.3986928004482023,-9.79527905074315,-0.2914206702666647,-1.2674875371174326,-0.4707495702790984,left
3596,0.12024815481408746,-0.37126939642462353,-9.790558621402374,0.10623288839187356,-1.7777296420601025,-1.2405949788184425,left
3597,0.23276204924393307,-0.34050210589046304,-9.791150906707559,-0.30303005559351803,-1.3927564552201401,-2.6107172113075077,left
3598,0.4826195807453546,-0.2919086824018182,-9.9335681052793,-0.23409634344137675,-0.045141853742968224,-3.741560647935762,left
3599,0.5334945943394791,-0.21691074851634842,-9.83821602866292,-1.2964307707186553,1.104601624532909,-4.485812233251082,left
3600,0.5531954032243576,-0.14946444954633603,-9.842034020283577,-1.475805098353231,0.4412434916543242,-5.519866807158351,left
3601,0.5082891445195696,-0.127517195712368,-9.715064081916733,-2.009409440387876,-3.176342510381219,-6.991249719887963,left
3602,0.6007261336467171,-0.08568833058962631,-9.737492085108057,-1.115450466285274,-7.1240887226273095,-8.957596646001726,left
3603,0.629257432792584,-0.04954771596824485,-9.73533127266749,-1.678393652069289,-9.756233774801396,-9.613356521343107,left
3604,0.5646875295004419,-0.05221839939105179,-9.681353739539563,-1.5331728002033316,-11.582753437934418,-10.950789786674164,left
3605,0.4750951778600201,-0.012683531142800686,-9.76096849175241,-1.2468609641794406,-13.862252669441638,-13.134592056707675,left
3606,0.45747042208138833,-0.025631150054949897,-9.829379850636384,-1.4114299055024224,-17.128727439509852,-15.821715416842963,left
3607,0.38070757746734474,-0.056207272705443775,-9.810101140812916,-1.4332157380673038,-20.490583260789794,-17.76446194084946,left
3608,0.36397021589539147,-0.06614563239447571,-9.751275259352857,-1.297043897389785,-23.69042848918886,-20.843185915270826,left
3609,0.34842068828060135,-0.07561915994899293,-9.48572702799027,-2.6391028888721095,-24.35992923922372,-23.937521028532828,left
3610,0.35475670351662636,-0.15003709929811276,-9.097552897163299,-4.122543626899327,-22.9449226600846,-27.188060581546043,left
3611,0.45523069876989597,-0.21636166322182016,-8.817117132585386,-4.715135674388358,-20.95839134282075,-29.823853664395305,left
3612,0.7514478587220286,-0.2589351717719213,-9.039331920147383,-3.9757664226491123,-19.294465490922647,-30.39576390671097,left
3613,0.967239990612389,-0.3944586595051522,-9.979385208934282,-3.7309283583832737,-18.539950232508623,-27.916764265372684,left
3614,0.9098982510940892,-0.5265249348092045,-10.462081737110847,-4.336168796621715,-20.03377405161123,-25.957774153708687,left
